Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Colombia,2020-03-31,798,16.88,15,14,0.01754386,0,0
Colombia,2020-04-01,906,19.17,31,16,0.017660044150110375,108,2
Colombia,2020-04-02,1065,22.53,39,17,0.01596244131455399,159,1
Colombia,2020-04-03,1161,24.57,55,19,0.01636520241171404,96,2
Colombia,2020-04-07,1579,31.97,88,46,0.02913236225459152,418,27
Colombia,2020-04-10,2223,45.0,174,69,0.0310391363022942,644,23
Colombia,2020-04-11,2473,50.07,197,80,0.03234937323089365,250,11
Colombia,2020-04-12,2473,50.07,197,80,0.03234937323089365,0,0
Colombia,2020-04-14,2852,57.74,319,112,0.03927068723702665,379,32
Colombia,2020-04-17,3233,65.45,550,144,0.044540674296319215,381,32
Colombia,2020-04-18,3439,69.62,634,153,0.04448967723175341,206,9
Colombia,2020-04-20,3792,76.77,711,179,0.04720464135021097,353,26
Colombia,2020-04-22,4149,84.0,804,196,0.04724029886719691,357,17
Colombia,2020-04-23,4356,88.19,870,206,0.0472910927456382,207,10
Colombia,2020-04-24,4561,92.34,927,215,0.04713878535408902,205,9
Colombia,2020-04-25,4881,98.81,1003,225,0.046097111247695145,320,10
Colombia,2020-04-26,5142,104.1,1067,233,0.045313107740178916,261,8
Colombia,2020-04-27,5379,108.9,1133,244,0.04536159137386131,237,11
Colombia,2020-04-28,5597,113.31,1210,253,0.04520278720743255,218,9
Colombia,2020-04-29,5949,120.44,1268,269,0.04521768364430997,352,16
Colombia,2020-04-30,5949,120.44,1268,269,0.04521768364430997,0,0
Colombia,2020-05-01,6211,126.0,1411,278,0.04475929801964257,262,9
Colombia,2020-05-02,7006,142.0,1551,314,0.044818726805595205,795,36
Colombia,2020-05-03,7285,147.0,1666,324,0.044474948524365135,279,10
Colombia,2020-05-04,7285,147.0,1666,324,0.044474948524365135,0,0
Colombia,2020-05-05,7973,161.0,1807,358,0.044901542706634885,688,34
Colombia,2020-05-06,8613,174.0,2013,378,0.0438871473354232,640,20
Colombia,2020-05-07,8959,181.0,2148,397,0.044312981359526736,346,19
Colombia,2020-05-08,8959,181.0,2148,397,0.044312981359526736,0,0
Colombia,2020-05-09,10051,203.0,2424,428,0.04258282757934534,1092,31
Colombia,2020-05-10,10495,212.0,2569,445,0.042401143401619816,444,17
Colombia,2020-05-11,11063,224.0,2705,463,0.041851215764259236,568,18
Colombia,2020-05-12,11613,235.0,2825,479,0.04124687849823474,550,16
Colombia,2020-05-13,12272,248.0,2971,493,0.040172750977835715,659,14
Colombia,2020-05-15,13610,276.0,3358,525,0.03857457751653196,1338,32
Colombia,2020-05-16,14216,288.0,3460,546,0.038407428249859314,606,21
Colombia,2020-05-17,14216,288.0,3460,546,0.038407428249859314,0,0
Colombia,2020-05-18,15574,315.0,3751,574,0.0368562989598048,1358,28
Colombia,2020-05-19,16295,330.0,3903,592,0.03633016262657257,721,18
