Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Denmark,2020-03-31,2577.0,464.41,0.0,77.0,0.029879705,0.0,0.0
Denmark,2020-04-01,2860.0,515.41,0.0,90.0,0.03146853146853147,283.0,13.0
Denmark,2020-04-02,3107.0,559.92,894.0,104.0,0.03347280334728033,247.0,14.0
Denmark,2020-04-03,3386.0,610.2,1089.0,123.0,0.03632604843473125,279.0,19.0
Denmark,2020-04-07,4681.0,803.91,1378.0,187.0,0.039948728904080334,1295.0,64.0
Denmark,2020-04-10,5635.0,967.75,1736.0,237.0,0.042058562555456966,954.0,50.0
Denmark,2020-04-11,5819.0,999.35,1773.0,247.0,0.04244715586870596,184.0,10.0
Denmark,2020-04-12,5996.0,1029.75,1955.0,260.0,0.04336224149432955,177.0,13.0
Denmark,2020-04-14,6318.0,1085.05,2235.0,285.0,0.045109211775878434,322.0,25.0
Denmark,2020-04-17,6879.0,1181.4,3023.0,321.0,0.04666375926733537,561.0,36.0
Denmark,2020-04-18,7073.0,1214.72,3389.0,336.0,0.04750459493849851,194.0,15.0
Denmark,2020-04-20,7384.0,1268.13,4141.0,355.0,0.04807692307692308,311.0,19.0
Denmark,2020-04-22,7695.0,1321.54,4700.0,370.0,0.04808317089018843,311.0,15.0
Denmark,2020-04-23,7912.0,1358.81,5087.0,384.0,0.04853387259858443,217.0,14.0
Denmark,2020-04-24,8310.0,1427.16,5384.0,394.0,0.04741275571600481,398.0,10.0
Denmark,2020-04-25,8210.0,1409.98,5526.0,403.0,0.049086479902557864,0.0,9.0
Denmark,2020-04-26,8445.0,1450.34,5669.0,418.0,0.04949674363528715,235.0,15.0
Denmark,2020-04-27,8575.0,1472.67,5805.0,422.0,0.04921282798833819,130.0,4.0
Denmark,2020-04-28,8698.0,1493.79,5959.0,427.0,0.04909174522878823,123.0,5.0
Denmark,2020-04-29,8851.0,1520.07,6121.0,434.0,0.04903400745678455,153.0,7.0
Denmark,2020-04-30,8851.0,1520.07,6121.0,434.0,0.04903400745678455,0.0,0.0
Denmark,2020-05-01,9158.0,1573.0,6546.0,452.0,0.04935575453155711,307.0,18.0
Denmark,2020-05-02,9311.0,1599.0,6729.0,460.0,0.04940393083449683,153.0,8.0
Denmark,2020-05-03,9407.0,1616.0,6889.0,475.0,0.050494312745827566,96.0,15.0
Denmark,2020-05-04,9407.0,1616.0,6889.0,475.0,0.050494312745827566,0.0,0.0
Denmark,2020-05-05,9670.0,1661.0,7088.0,493.0,0.05098241985522234,263.0,18.0
Denmark,2020-05-06,9821.0,1687.0,7296.0,503.0,0.05121678036859791,151.0,10.0
Denmark,2020-05-07,9938.0,1707.0,7493.0,506.0,0.050915677198631513,117.0,3.0
Denmark,2020-05-08,10083.0,1732.0,7711.0,514.0,0.05097689179807597,145.0,8.0
Denmark,2020-05-09,10218.0,1755.0,7927.0,522.0,0.05108631826189078,135.0,8.0
Denmark,2020-05-10,10319.0,1772.0,8093.0,526.0,0.05097393158251769,101.0,4.0
Denmark,2020-05-11,10429.0,1791.0,8217.0,529.0,0.05072394285166363,110.0,3.0
Denmark,2020-05-12,10513.0,1806.0,8328.0,533.0,0.05069913440502236,84.0,4.0
Denmark,2020-05-13,10591.0,1819.0,8580.0,527.0,0.04975922953451043,78.0,0.0
Denmark,2020-05-15,10713.0,1840.0,8805.0,537.0,0.05012601512181462,122.0,10.0
Denmark,2020-05-16,10791.0,1853.0,8959.0,537.0,0.04976369196552683,78.0,0.0
Denmark,2020-05-17,10858.0,1865.0,9107.0,543.0,0.05000920979922638,67.0,6.0
Denmark,2020-05-18,10927.0,1877.0,9227.0,547.0,0.050059485677679136,69.0,4.0
Denmark,2020-05-19,10968.0,1884.0,9301.0,548.0,0.049963530269876,41.0,1.0
Denmark,2020-05-20,11044.0,1897.0,9416.0,561.0,0.05079681274900399,76.0,13.0
,2020-05-21,,,,,,,
Denmark,2020-05-22,11182.0,1920.0,9643.0,561.0,0.050169915936326234,,
Denmark,2020-05-23,11230.0,1929.0,9764.0,561.0,0.04995547640249332,48.0,0.0
Denmark,2020-05-24,11289.0,1939.0,9836.0,561.0,0.04969439277172469,59.0,0.0
Denmark,2020-05-25,11360.0,1951.0,9900.0,562.0,0.04947183098591549,71.0,1.0
Denmark,2020-05-26,11387.0,1956.0,9964.0,563.0,0.049442346535522964,27.0,1.0
Denmark,2020-05-27,11426.0,1962.0,10044.0,563.0,0.04927358655697532,39.0,0.0
Denmark,2020-05-28,11480.0,1972.0,10106.0,565.0,0.049216027874564465,54.0,2.0
Denmark,2020-05-29,11512.0,1977.0,10180.0,568.0,0.049339819318971516,32.0,3.0
Denmark,2020-05-30,11593.0,1991.0,10240.0,568.0,0.04899508323988614,81.0,0.0
Denmark,2020-05-31,11633.0,1998.0,10327.0,571.0,0.04908450098856701,40.0,3.0
Denmark,2020-06-01,11669.0,2004.0,10362.0,574.0,0.049190161967606484,36.0,3.0
Denmark,2020-06-02,11699.0,2009.0,10412.0,576.0,0.049234977348491325,30.0,2.0
Denmark,2020-06-03,11734.0,2015.0,10489.0,580.0,0.0494,35.0,4.0
Denmark,2020-06-04,11771.0,2022.0,10552.0,580.0,0.0493,37.0,0.0
Denmark,2020-06-05,11811.0,2028.0,10620.0,582.0,0.0493,40.0,2.0
Denmark,2020-06-06,11875.0,2039.0,10653.0,586.0,0.0493,64.0,4.0
Denmark,2020-06-07,11924.0,2048.0,10721.0,587.0,0.0492,49.0,1.0
Denmark,2020-06-08,11948.0,2052.0,10755.0,589.0,0.0493,24.0,2.0
Denmark,2020-06-09,11962.0,2054.0,10792.0,593.0,0.0496,14.0,4.0
Denmark,2020-06-10,12001.0,2061.0,10849.0,593.0,0.0494,39.0,0.0
Denmark,2020-06-12,12035.0,2067.0,10955.0,593.0,0.0493,34.0,0.0
Denmark,2020-06-13,12099.0,2078.0,10993.0,594.0,0.0491,64.0,1.0
Denmark,2020-06-14,12139.0,2085.0,11035.0,597.0,0.0492,40.0,3.0
Denmark,2020-06-15,12139.0,2085.0,11035.0,597.0,0.0492,0.0,0.0
Denmark,2020-06-16,12217.0,2098.0,11090.0,598.0,0.0489,78.0,1.0
Denmark,2020-06-17,12250.0,2104.0,11125.0,598.0,0.0488,33.0,0.0
Denmark,2020-06-18,12294.0,2111.0,11185.0,598.0,0.0486,44.0,0.0
Denmark,2020-06-19,12344.0,2120.0,11242.0,600.0,0.0486,50.0,2.0
Denmark,2020-06-20,12391.0,2128.0,11282.0,600.0,0.0484,47.0,0.0
Denmark,2020-06-21,12391.0,2128.0,11282.0,600.0,0.0484,0.0,0.0
Denmark,2020-06-22,12391.0,2128.0,11282.0,600.0,0.0484,0.0,0.0
Denmark,2020-06-23,12527.0,2151.0,11347.0,602.0,0.0481,136.0,2.0
Denmark,2020-06-24,12561.0,2157.0,11393.0,603.0,0.048,34.0,1.0
Denmark,2020-06-25,12615.0,2166.0,11422.0,603.0,0.0478,54.0,0.0
Denmark,2020-06-26,12636.0,2170.0,11460.0,603.0,0.0477,21.0,0.0
Denmark,2020-06-27,12675.0,2177.0,11508.0,604.0,0.0477,39.0,1.0
Denmark,2020-06-28,12675.0,2177.0,11508.0,604.0,0.0477,0.0,0.0
Denmark,2020-06-29,12675.0,2177.0,11508.0,604.0,0.0477,0.0,0.0
Denmark,2020-06-30,12751.0,2190.0,11512.0,605.0,0.0474,76.0,1.0
