Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Sweden,2020-03-31,4106,408.48,18.0,161,0.039210911,,,0,0
Sweden,2020-04-01,4525,450.16,93.0,198,0.043756906077348064,,,419,37
Sweden,2020-04-02,5009,498.32,103.0,259,0.0517069275304452,,,484,61
Sweden,2020-04-03,5568,553.93,103.0,308,0.05531609195402299,,,559,49
Sweden,2020-04-07,7347,710.99,219.0,506,0.06887164829181977,,,1779,198
Sweden,2020-04-10,9245,894.67,373.0,809,0.08750676041103299,,,1898,303
Sweden,2020-04-11,9685,937.25,0.0,870,0.08982963345379452,,,440,61
Sweden,2020-04-12,10151,982.34,0.0,887,0.08738055364003547,,,466,17
Sweden,2020-04-14,10948,1059.47,0.0,919,0.08394227256119839,,,797,32
Sweden,2020-04-17,12540,1213.53,0.0,1333,0.10629984051036682,,,1592,414
Sweden,2020-04-18,13216,1278.95,0.0,1400,0.1059322033898305,,,676,67
Sweden,2020-04-20,14385,1392.08,550.0,1540,0.1070559610705596,,,1169,140
Sweden,2020-04-22,15322,1482.76,550.0,1765,0.1151938389244224,,,937,225
Sweden,2020-04-23,16004,1548.76,550.0,1937,0.12103224193951513,,,682,172
Sweden,2020-04-24,16755,1621.43,550.0,2021,0.12062071023575052,,,751,84
Sweden,2020-04-25,17567,1700.01,550.0,2152,0.12250241930893152,,,812,131
Sweden,2020-04-26,18177,1759.04,550.0,2192,0.12059195686857015,,,610,40
Sweden,2020-04-27,18640,1803.85,550.0,2194,0.1177038626609442,,,463,2
Sweden,2020-04-28,18926,1831.53,1005.0,2274,0.12015217161576668,,,286,80
Sweden,2020-04-29,19621,1898.78,1005.0,2355,0.12002446358493453,,,695,81
Sweden,2020-04-30,19621,1898.78,1005.0,2355,0.12002446358493453,,,0,0
Sweden,2020-05-01,21092,2041.0,0.0,2586,0.12260572728996776,,,1471,231
Sweden,2020-05-02,21520,2083.0,1005.0,2653,0.1232806691449814,,,428,67
Sweden,2020-05-03,22082,2137.0,1005.0,2669,0.12086767502943575,,,562,16
Sweden,2020-05-04,22317,2160.0,1543.0,2679,0.12004301653448045,,,235,10
Sweden,2020-05-05,22721,2199.0,1543.0,2769,0.1218696360195414,,,404,90
Sweden,2020-05-06,23216,2247.0,1543.0,2854,0.12293246037215713,,,495,85
Sweden,2020-05-07,23918,2315.0,1543.0,2941,0.12296178610251693,,,702,87
Sweden,2020-05-08,24623,2383.0,4074.0,3040,0.12346180400438615,,,705,99
Sweden,2020-05-09,25265,2445.0,4971.0,3175,0.12566792004749652,,,642,135
Sweden,2020-05-10,25921,2508.0,4971.0,3220,0.12422360248447205,,,656,45
Sweden,2020-05-11,26322,2547.0,4971.0,3225,0.12252108502393436,,,401,5
Sweden,2020-05-12,26670,2581.0,4971.0,3256,0.12208473940757406,,,348,31
Sweden,2020-05-13,27272,2639.0,4971.0,3313,0.12147990613083015,,,602,57
Sweden,2020-05-15,28582,2766.0,4971.0,3529,0.12346931635294943,,,1310,216
Sweden,2020-05-16,29207,2826.0,4971.0,3646,0.12483308795836615,,,625,117
Sweden,2020-05-17,29677,2872.0,4971.0,3674,0.12379957542878325,,,470,28
Sweden,2020-05-18,30143,2917.0,4971.0,3679,0.1220515542580367,,,466,5
Sweden,2020-05-19,30377,2940.0,4971.0,3698,0.12173684037265035,,,234,19
Sweden,2020-05-20,30799,2981.0,4971.0,3743,0.121529919802591,,,422,45
Sweden,2020-05-21,31523,3051.0,4971.0,3831,0.12153031120134505,,,724,88
Sweden,2020-05-22,32172,3113.0,4971.0,3871,0.12032201914708443,,,649,40
Sweden,2020-05-23,32809,3175.0,4971.0,3925,0.11963180834527112,,,637,54
Sweden,2020-05-24,33188,3212.0,4971.0,3992,0.12028444015909365,,,379,67
Sweden,2020-05-25,33459,3238.0,4971.0,3998,0.11948952449266265,,,271,6
Sweden,2020-05-26,33843,3275.0,4971.0,4029,0.1190497296338977,,,384,31
Sweden,2020-05-27,34440,3333.0,4971.0,4125,0.11977351916376308,,,597,96
Sweden,2020-05-28,35088,3396.0,4971.0,4220,0.1202690378476972,,,648,95
Sweden,2020-05-29,35727,3457.0,4971.0,4266,0.1194054916449744,,,639,46
Sweden,2020-05-30,36476,3530.0,4971.0,4350,0.11925649742296306,,,749,84
Sweden,2020-05-31,37113,3592.0,4971.0,4395,0.1184221162395926,,,637,45
Sweden,2020-06-01,37542,3633.0,4971.0,4395,0.11706888285120665,,,429,0
Sweden,2020-06-02,37814,3659.0,4971.0,4403,0.11643835616438356,,,272,8
Sweden,2020-06-03,38589,3734.0,4971.0,4468,0.1158,,,775,65
Sweden,2020-06-04,40803,3949.0,4971.0,4542,0.1113,,,2214,74
Sweden,2020-06-05,41883,4053.0,4971.0,4562,0.1089,,,1080,20
Sweden,2020-06-06,42939,4155.0,4971.0,4639,0.10800000000000001,,,1056,77
Sweden,2020-06-07,43887,4247.0,0.0,4656,0.1061,,,948,17
Sweden,2020-06-08,44730,4329.0,0.0,4659,0.1042,,,843,3
Sweden,2020-06-09,45133,4368.0,0.0,4694,0.10400000000000001,,,403,35
Sweden,2020-06-10,45924,4444.0,0.0,4717,0.1027,,,791,23
Sweden,2020-06-12,48288,4673.0,0.0,4814,0.0997,,,2364,97
Sweden,2020-06-13,49684,4808.0,0.0,4854,0.0977,,,1396,40
Sweden,2020-06-14,50931,4929.0,0.0,4874,0.0957,,,1247,20
Sweden,2020-06-15,50931,4929.0,0.0,4874,0.0957,,,0,0
Sweden,2020-06-16,52383,5069.0,0.0,4891,0.0934,,,1452,17
Sweden,2020-06-17,53323,5160.0,0.0,4939,0.0926,,,940,48
