Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Finland,2020-03-31,1308.0,241.04,10.0,13.0,0.009938838,0.0,0.0
Finland,2020-04-01,1379.0,254.12,0.0,17.0,0.012327773749093546,71.0,4.0
Finland,2020-04-02,1441.0,265.55,0.0,17.0,0.011797362942401109,62.0,0.0
Finland,2020-04-03,1513.0,278.82,0.0,17.0,0.011235955056179777,72.0,0.0
Finland,2020-04-07,2176.0,393.66,0.0,27.0,0.012408088235294115,663.0,10.0
Finland,2020-04-10,2605.0,471.27,0.0,40.0,0.015355086372360844,429.0,13.0
Finland,2020-04-11,2769.0,500.94,0.0,48.0,0.017334777898158182,164.0,8.0
Finland,2020-04-12,2905.0,525.55,0.0,49.0,0.016867469879518072,136.0,1.0
Finland,2020-04-14,3064.0,554.31,0.0,59.0,0.019255874673629242,159.0,10.0
Finland,2020-04-17,3369.0,609.49,0.0,72.0,0.0213713268032057,305.0,13.0
Finland,2020-04-18,3489.0,631.2,0.0,82.0,0.0235024362281456,120.0,10.0
Finland,2020-04-20,3783.0,684.39,1700.0,94.0,0.024848004229447527,294.0,12.0
Finland,2020-04-22,4014.0,726.18,1700.0,141.0,0.035127055306427506,231.0,47.0
Finland,2020-04-23,4129.0,746.98,2000.0,149.0,0.03608621942358925,115.0,8.0
Finland,2020-04-24,4284.0,775.02,2000.0,172.0,0.04014939309056957,155.0,23.0
Finland,2020-04-25,4395.0,795.1,2500.0,177.0,0.040273037542662114,111.0,5.0
Finland,2020-04-26,4475.0,809.58,2500.0,186.0,0.04156424581005587,80.0,9.0
Finland,2020-04-27,4576.0,827.85,2500.0,190.0,0.041520979020979024,101.0,4.0
Finland,2020-04-28,4695.0,849.38,2500.0,193.0,0.04110756123535676,119.0,3.0
Finland,2020-04-29,4740.0,857.52,2800.0,199.0,0.0419831223628692,45.0,6.0
Finland,2020-04-30,4740.0,857.52,2800.0,199.0,0.0419831223628692,0.0,0.0
Finland,2020-05-01,4995.0,904.0,3000.0,211.0,0.04224224224224224,255.0,12.0
Finland,2020-05-02,5051.0,914.0,3000.0,218.0,0.04315977034250643,56.0,7.0
Finland,2020-05-03,5176.0,936.0,3000.0,220.0,0.04250386398763524,125.0,2.0
Finland,2020-05-04,5176.0,936.0,3000.0,220.0,0.04250386398763524,0.0,0.0
Finland,2020-05-05,5327.0,964.0,3000.0,230.0,0.04317627182278956,151.0,10.0
Finland,2020-05-06,5412.0,979.0,3500.0,246.0,0.045454545454545456,85.0,16.0
Finland,2020-05-07,5573.0,1008.0,3500.0,252.0,0.04521801543154495,161.0,6.0
Finland,2020-05-08,5673.0,1026.0,3500.0,255.0,0.0449497620306716,100.0,3.0
Finland,2020-05-09,5738.0,1038.0,3500.0,260.0,0.04531195538515162,65.0,5.0
Finland,2020-05-10,5880.0,1064.0,4000.0,265.0,0.04506802721088436,142.0,5.0
Finland,2020-05-11,5962.0,1079.0,4000.0,267.0,0.044783629654478366,82.0,2.0
Finland,2020-05-12,5984.0,1083.0,4000.0,271.0,0.04528743315508021,22.0,4.0
Finland,2020-05-13,6003.0,1086.0,4300.0,275.0,0.045810428119273695,19.0,4.0
Finland,2020-05-15,6145.0,1112.0,4300.0,287.0,0.046704637917005694,142.0,12.0
Finland,2020-05-16,6228.0,1127.0,4300.0,287.0,0.04608220937700706,83.0,0.0
Finland,2020-05-17,6286.0,1137.0,5000.0,297.0,0.0472478523703468,58.0,10.0
Finland,2020-05-18,6347.0,1148.0,5000.0,298.0,0.0469513155821648,61.0,1.0
Finland,2020-05-19,6380.0,1154.0,5000.0,300.0,0.047021943573667714,33.0,2.0
Finland,2020-05-20,6399.0,1158.0,5000.0,301.0,0.04703859978121582,19.0,1.0
,2020-05-21,,,,,,,
Finland,2020-05-22,6493.0,1175.0,4800.0,306.0,0.04712767595872478,,
