Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Andorra,2020-03-31,370.0,4857.11,10.0,8.0,0.021621622000000004,,,0.0,0.0
Andorra,2020-04-01,376.0,4935.87,10.0,12.0,0.031914893617021274,,,6.0,4.0
Andorra,2020-04-02,390.0,5119.66,11.0,14.0,0.035897435897435895,,,14.0,2.0
Andorra,2020-04-03,428.0,5618.49,14.0,15.0,0.035046728971962614,,,38.0,1.0
Andorra,2020-04-07,526.0,6783.33,31.0,21.0,0.039923954372623575,,,98.0,6.0
Andorra,2020-04-10,583.0,7518.41,58.0,25.0,0.042881646655231566,,,57.0,4.0
Andorra,2020-04-11,601.0,7750.54,71.0,26.0,0.043261231281198013,,,18.0,1.0
Andorra,2020-04-12,601.0,7750.54,71.0,26.0,0.043261231281198013,,,0.0,0.0
Andorra,2020-04-14,646.0,8330.86,139.0,29.0,0.04489164086687306,,,45.0,3.0
Andorra,2020-04-17,682.0,8795.12,177.0,33.0,0.04838709677419355,,,36.0,4.0
Andorra,2020-04-18,696.0,8975.67,191.0,35.0,0.05028735632183908,,,14.0,2.0
Andorra,2020-04-20,713.0,9194.9,235.0,36.0,0.05049088359046283,,,17.0,1.0
Andorra,2020-04-22,717.0,9246.48,282.0,37.0,0.05160390516039052,,,4.0,1.0
Andorra,2020-04-23,723.0,9323.86,309.0,37.0,0.05117565698478562,,,6.0,0.0
Andorra,2020-04-24,724.0,9336.76,309.0,37.0,0.05110497237569061,,,1.0,0.0
Andorra,2020-04-25,731.0,9427.03,344.0,40.0,0.05471956224350205,,,7.0,3.0
Andorra,2020-04-26,738.0,9517.3,344.0,40.0,0.054200542005420065,,,7.0,0.0
Andorra,2020-04-27,738.0,9517.3,344.0,40.0,0.054200542005420065,,,0.0,0.0
Andorra,2020-04-28,743.0,9581.78,385.0,40.0,0.05383580080753701,,,5.0,0.0
Andorra,2020-04-29,748.0,9646.26,398.0,41.0,0.054812834224598934,,,5.0,1.0
Andorra,2020-04-30,748.0,9646.26,398.0,41.0,0.054812834224598934,,,0.0,0.0
Andorra,2020-05-01,753.0,9711.0,468.0,42.0,0.055776892430278883,,,5.0,1.0
Andorra,2020-05-02,753.0,9711.0,468.0,43.0,0.05710491367861885,,,0.0,1.0
Andorra,2020-05-03,753.0,9711.0,472.0,44.0,0.05843293492695883,,,0.0,1.0
Andorra,2020-05-04,753.0,9711.0,472.0,44.0,0.05843293492695883,,,0.0,0.0
Andorra,2020-05-05,753.0,9711.0,493.0,45.0,0.059760956175298814,,,0.0,1.0
Andorra,2020-05-06,751.0,9685.0,514.0,46.0,0.061251664447403466,,,0.0,1.0
Andorra,2020-05-07,751.0,9685.0,514.0,46.0,0.061251664447403466,,,0.0,0.0
Andorra,2020-05-08,752.0,9698.0,526.0,47.0,0.0625,,,1.0,1.0
Andorra,2020-05-09,752.0,9698.0,526.0,47.0,0.0625,,,0.0,0.0
Andorra,2020-05-10,754.0,9724.0,545.0,48.0,0.0636604774535809,,,2.0,1.0
Andorra,2020-05-11,755.0,9737.0,550.0,48.0,0.06357615894039735,,,1.0,0.0
