Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Suriname,2020-03-31,8.0,13.92,0.0,0.0,0.0,0.0,0.0
Suriname,2020-04-01,9.0,15.66,0.0,0.0,0.0,1.0,0.0
Suriname,2020-04-02,10.0,17.4,0.0,0.0,0.0,1.0,0.0
Suriname,2020-04-03,10.0,17.4,0.0,0.0,0.0,0.0,0.0
Suriname,2020-04-07,10.0,17.2,3.0,1.0,0.1,0.0,1.0
Suriname,2020-04-10,10.0,17.2,4.0,1.0,0.1,0.0,0.0
Suriname,2020-04-11,10.0,17.2,4.0,1.0,0.1,0.0,0.0
Suriname,2020-04-12,10.0,17.2,4.0,1.0,0.1,0.0,0.0
Suriname,2020-04-14,10.0,17.2,6.0,1.0,0.1,0.0,0.0
Suriname,2020-04-17,10.0,17.2,6.0,1.0,0.1,0.0,0.0
Suriname,2020-04-18,10.0,17.2,6.0,1.0,0.1,0.0,0.0
Suriname,2020-04-20,10.0,17.2,6.0,1.0,0.1,0.0,0.0
Suriname,2020-04-22,10.0,17.2,6.0,1.0,0.1,0.0,0.0
Suriname,2020-04-23,10.0,17.2,6.0,1.0,0.1,0.0,0.0
Suriname,2020-04-24,10.0,17.2,6.0,1.0,0.1,0.0,0.0
Suriname,2020-04-25,10.0,17.2,7.0,1.0,0.1,0.0,0.0
Suriname,2020-04-26,10.0,17.2,7.0,1.0,0.1,0.0,0.0
Suriname,2020-04-27,10.0,17.2,7.0,1.0,0.1,0.0,0.0
Suriname,2020-04-28,10.0,17.2,7.0,1.0,0.1,0.0,0.0
Suriname,2020-04-29,10.0,17.2,7.0,1.0,0.1,0.0,0.0
Suriname,2020-04-30,10.0,17.2,7.0,1.0,0.1,0.0,0.0
Suriname,2020-05-01,10.0,17.0,8.0,1.0,0.1,0.0,0.0
Suriname,2020-05-02,10.0,17.0,8.0,1.0,0.1,0.0,0.0
Suriname,2020-05-03,10.0,17.0,8.0,1.0,0.1,0.0,0.0
Suriname,2020-05-04,10.0,17.0,8.0,1.0,0.1,0.0,0.0
Suriname,2020-05-05,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-06,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-07,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-08,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-09,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-10,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-11,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-12,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-13,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-15,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-16,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-17,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-18,10.0,17.0,9.0,1.0,0.1,0.0,0.0
Suriname,2020-05-19,11.0,19.0,9.0,1.0,0.09090909090909093,1.0,0.0
Suriname,2020-05-20,11.0,19.0,9.0,1.0,0.09090909090909093,0.0,0.0
,2020-05-21,,,,,,,
Suriname,2020-05-22,11.0,19.0,9.0,1.0,0.09090909090909093,,
Suriname,2020-05-23,11.0,19.0,9.0,1.0,0.09090909090909093,0.0,0.0
Suriname,2020-05-24,11.0,19.0,9.0,1.0,0.09090909090909093,0.0,0.0
Suriname,2020-05-25,11.0,19.0,9.0,1.0,0.09090909090909093,0.0,0.0
Suriname,2020-05-26,11.0,19.0,9.0,1.0,0.09090909090909093,0.0,0.0
Suriname,2020-05-27,11.0,19.0,9.0,1.0,0.09090909090909093,0.0,0.0
Suriname,2020-05-28,11.0,19.0,9.0,1.0,0.09090909090909093,0.0,0.0
Suriname,2020-05-29,12.0,21.0,9.0,1.0,0.08333333333333333,1.0,0.0
Suriname,2020-05-30,12.0,21.0,9.0,1.0,0.08333333333333333,0.0,0.0
Suriname,2020-05-31,12.0,21.0,9.0,1.0,0.08333333333333333,0.0,0.0
Suriname,2020-06-01,24.0,41.0,10.0,1.0,0.04166666666666666,12.0,0.0
Suriname,2020-06-02,44.0,76.0,9.0,1.0,0.022727272727272728,20.0,0.0
Suriname,2020-06-03,54.0,93.0,9.0,1.0,0.0185,10.0,0.0
Suriname,2020-06-04,74.0,127.0,9.0,1.0,0.0135,20.0,0.0
Suriname,2020-06-05,82.0,141.0,9.0,1.0,0.0122,8.0,0.0
Suriname,2020-06-06,90.0,155.0,9.0,1.0,0.0111,8.0,0.0
Suriname,2020-06-07,100.0,172.0,9.0,1.0,0.01,10.0,0.0
Suriname,2020-06-08,122.0,210.0,9.0,1.0,0.0082,22.0,0.0
Suriname,2020-06-09,130.0,224.0,9.0,2.0,0.0154,8.0,1.0
Suriname,2020-06-10,137.0,236.0,9.0,2.0,0.0146,7.0,0.0
Suriname,2020-06-12,169.0,291.0,9.0,2.0,0.0118,32.0,0.0
Suriname,2020-06-13,187.0,322.0,9.0,3.0,0.016,18.0,1.0
Suriname,2020-06-14,196.0,337.0,9.0,3.0,0.0153,9.0,0.0
Suriname,2020-06-15,196.0,337.0,9.0,3.0,0.0153,0.0,0.0
Suriname,2020-06-16,229.0,394.0,48.0,4.0,0.0175,33.0,1.0
Suriname,2020-06-17,236.0,406.0,48.0,6.0,0.0254,7.0,2.0
Suriname,2020-06-18,261.0,449.0,48.0,6.0,0.023,25.0,0.0
Suriname,2020-06-19,277.0,476.0,72.0,7.0,0.0253,16.0,1.0
Suriname,2020-06-20,293.0,504.0,72.0,8.0,0.0273,16.0,1.0
Suriname,2020-06-21,303.0,521.0,72.0,8.0,0.0264,10.0,0.0
Suriname,2020-06-22,314.0,540.0,106.0,8.0,0.0255,11.0,0.0
Suriname,2020-06-23,318.0,547.0,106.0,8.0,0.0252,4.0,0.0
Suriname,2020-06-24,319.0,549.0,132.0,9.0,0.0282,1.0,1.0
Suriname,2020-06-25,357.0,614.0,154.0,9.0,0.0252,38.0,0.0
Suriname,2020-06-26,373.0,642.0,176.0,10.0,0.0268,16.0,1.0
