Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewConfirmed,NewDeaths
Jordan,2020-03-31,268.0,30.53,26.0,5.0,0.018656716,,0.0,0.0
Jordan,2020-04-01,268.0,30.53,26.0,5.0,0.018656716417910446,,0.0,0.0
Jordan,2020-04-02,278.0,31.67,36.0,5.0,0.017985611510791366,,10.0,0.0
Jordan,2020-04-03,299.0,34.06,45.0,5.0,0.016722408026755852,,21.0,0.0
Jordan,2020-04-07,349.0,32.77,126.0,6.0,0.017191977077363897,,50.0,1.0
Jordan,2020-04-10,372.0,34.93,161.0,7.0,0.01881720430107527,,23.0,1.0
Jordan,2020-04-11,372.0,34.93,170.0,7.0,0.01881720430107527,,0.0,0.0
Jordan,2020-04-12,381.0,35.78,177.0,7.0,0.01837270341207349,,9.0,0.0
Jordan,2020-04-14,391.0,36.72,215.0,7.0,0.017902813299232736,,10.0,0.0
Jordan,2020-04-17,402.0,37.75,259.0,7.0,0.017412935323383085,,11.0,0.0
Jordan,2020-04-18,407.0,38.22,265.0,7.0,0.0171990171990172,,5.0,0.0
Jordan,2020-04-20,417.0,39.16,276.0,7.0,0.016786570743405275,,10.0,0.0
Jordan,2020-04-22,428.0,40.19,297.0,7.0,0.016355140186915886,,11.0,0.0
Jordan,2020-04-23,435.0,40.85,315.0,7.0,0.016091954022988506,,7.0,0.0
Jordan,2020-04-24,437.0,41.04,318.0,7.0,0.01601830663615561,,2.0,0.0
Jordan,2020-04-25,441.0,41.41,326.0,7.0,0.015873015873015872,,4.0,0.0
Jordan,2020-04-26,444.0,41.69,332.0,7.0,0.01576576576576576,,3.0,0.0
Jordan,2020-04-27,447.0,41.97,337.0,7.0,0.015659955257270694,,3.0,0.0
Jordan,2020-04-28,449.0,42.16,342.0,7.0,0.0155902004454343,,2.0,0.0
Jordan,2020-04-29,449.0,42.16,348.0,8.0,0.017817371937639197,,0.0,1.0
Jordan,2020-04-30,449.0,42.16,348.0,8.0,0.017817371937639197,,0.0,0.0
Jordan,2020-05-01,453.0,43.0,362.0,8.0,0.017660044150110375,,4.0,0.0
Jordan,2020-05-02,459.0,43.0,364.0,8.0,0.017429193899782137,,6.0,0.0
Jordan,2020-05-03,460.0,43.0,367.0,9.0,0.01956521739130435,,1.0,1.0
Jordan,2020-05-04,460.0,43.0,367.0,9.0,0.01956521739130435,,0.0,0.0
Jordan,2020-05-05,465.0,44.0,370.0,9.0,0.01935483870967742,,5.0,0.0
Jordan,2020-05-06,471.0,44.0,375.0,9.0,0.01910828025477707,,6.0,0.0
Jordan,2020-05-07,473.0,44.0,377.0,9.0,0.019027484143763214,,2.0,0.0
Jordan,2020-05-08,494.0,46.0,381.0,9.0,0.01821862348178137,,21.0,0.0
Jordan,2020-05-09,508.0,48.0,385.0,9.0,0.017716535433070866,,14.0,0.0
