Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Canada,2020-03-31,7435,215.18,1065.0,89,0.01197041,,,0,0
Canada,2020-04-01,8579,248.29,1242.0,101,0.01177293390838093,,,1144,12
Canada,2020-04-02,9713,281.11,1540.0,111,0.011427983115412332,,,1134,10
Canada,2020-04-03,11268,326.11,1971.0,138,0.012247071352502662,,,1555,27
Canada,2020-04-07,16652,438.45,3616.0,323,0.019397069421090558,,,5384,185
Canada,2020-04-10,20748,546.3,5311.0,509,0.02453248505880085,,,4096,186
Canada,2020-04-11,22148,583.16,0.0,569,0.02569080729636988,,,1400,60
Canada,2020-04-12,23318,613.97,6458.0,653,0.028004116991165624,,,1170,84
Canada,2020-04-14,25680,676.16,7758.0,780,0.03037383177570093,,,2362,127
Canada,2020-04-17,29919,787.78,9701.0,1191,0.03980748019653063,,,4239,411
Canada,2020-04-18,31927,840.65,10543.0,1310,0.04103110220189808,,,2008,119
Canada,2020-04-20,35056,923.03,11843.0,1587,0.0452704244637152,,,3129,277
Canada,2020-04-22,38422,1011.66,13188.0,1834,0.04773306959554422,,,3366,247
Canada,2020-04-23,40190,1058.21,13986.0,1974,0.04911669569544663,,,1768,140
Canada,2020-04-24,42110,1108.77,14761.0,2147,0.05098551412966041,,,1920,173
Canada,2020-04-25,43888,1155.58,15541.0,2302,0.05245169522420707,,,1778,155
Canada,2020-04-26,45354,1194.18,16425.0,2465,0.054350222692596026,,,1466,163
Canada,2020-04-27,46895,1234.76,17321.0,2560,0.05459004158225824,,,1541,95
Canada,2020-04-28,48500,1277.02,18268.0,2707,0.055814432989690715,,,1605,147
Canada,2020-04-29,50026,1317.2,19231.0,2859,0.057150281853436215,,,1526,152
Canada,2020-04-30,50026,1317.2,19231.0,2859,0.057150281853436215,,,0,0
Canada,2020-05-01,53236,1402.0,21423.0,3184,0.05980915170185589,,,3210,325
Canada,2020-05-02,55061,1450.0,22751.0,3391,0.06158624071484354,,,1825,207
Canada,2020-05-03,56714,1493.0,23801.0,3566,0.06287689106746129,,,1653,175
Canada,2020-05-04,56714,1493.0,23801.0,3566,0.06287689106746129,,,0,0
Canada,2020-05-05,60772,1600.0,26017.0,3854,0.06341736325939577,,,4058,288
Canada,2020-05-06,62046,1634.0,26993.0,4043,0.06516133191503079,,,1274,189
Canada,2020-05-07,63496,1672.0,28171.0,4232,0.0666498677082021,,,1450,189
Canada,2020-05-08,64922,1709.0,29247.0,4408,0.0678968608484027,,,1426,176
Canada,2020-05-09,66434,1749.0,30406.0,4569,0.06877502483668001,,,1512,161
Canada,2020-05-10,67702,1783.0,31249.0,4693,0.06931848394434434,,,1268,124
Canada,2020-05-11,68848,1813.0,32096.0,4871,0.0707500580990007,,,1146,178
Canada,2020-05-12,69981,1843.0,32994.0,4993,0.0713479372972664,,,1133,122
Canada,2020-05-13,71157,1874.0,34042.0,5169,0.0726421855896117,,,1176,176
Canada,2020-05-15,73401,1933.0,36091.0,5472,0.07454939306004005,,,2244,303
Canada,2020-05-16,74613,1965.0,36895.0,5562,0.07454465039604359,,,1212,90
Canada,2020-05-17,75792,1996.0,37759.0,5678,0.07491555837027655,,,1179,116
Canada,2020-05-18,77002,2027.0,38550.0,5782,0.07508895872834473,,,1210,104
Canada,2020-05-19,78072,2056.0,39228.0,5842,0.07482836356184035,,,1070,60
Canada,2020-05-20,79112,2083.0,40050.0,5912,0.07472949742137729,,,1040,70
Canada,2020-05-21,80102,2109.0,40697.0,6028,0.0752540510848668,,,990,116
Canada,2020-05-22,81324,2141.0,41715.0,6152,0.07564802518321774,,,1222,124
Canada,2020-05-23,82480,2172.0,42594.0,6250,0.07577594568380214,,,1156,98
Canada,2020-05-24,83621,2202.0,43305.0,6355,0.07599765609117327,,,1141,105
Canada,2020-05-25,84699,2230.0,43985.0,6424,0.07584505129930695,,,1078,69
Canada,2020-05-26,85711,2257.0,44638.0,6545,0.0763612605149864,,,1012,121
Canada,2020-05-27,86647,2281.0,45339.0,6639,0.07662123327985966,,,936,94
Canada,2020-05-28,87519,2304.0,46164.0,6765,0.0772975011140438,,,872,126
Canada,2020-05-29,88512,2331.0,46840.0,6877,0.07769567968185105,,,993,112
Canada,2020-05-30,89418,2354.0,47518.0,6979,0.07804916236104588,,,906,102
Canada,2020-05-31,90190,2375.0,48103.0,7073,0.07842332852866171,,,772,94
Canada,2020-06-01,90947,2395.0,48879.0,7295,0.08021155178290652,,,757,222
Canada,2020-06-02,91705,2415.0,49726.0,7326,0.07988659287934137,,,758,31
Canada,2020-06-03,92410,2433.0,50357.0,7395,0.08,,,705,69
Canada,2020-06-04,93085,2451.0,51048.0,7498,0.0806,,,675,103
Canada,2020-06-05,93726,2468.0,51739.0,7637,0.0815,,,641,139
Canada,2020-06-06,94335,2484.0,52561.0,7702,0.0816,,,609,65
Canada,2020-06-07,95057,2503.0,53614.0,7773,0.0818,,,722,71
Canada,2020-06-08,95699,2520.0,54233.0,7800,0.0815,,,642,27
Canada,2020-06-09,96244,2534.0,54833.0,7835,0.0814,,,545,35
Canada,2020-06-10,96653,2545.0,55571.0,7897,0.0817,,,409,62
Canada,2020-06-12,97476,2567.0,57608.0,7996,0.08199999999999999,,,823,99
Canada,2020-06-13,97943,2579.0,58523.0,8049,0.0822,,,467,53
Canada,2020-06-14,98410,2591.0,59353.0,8107,0.0824,,,467,58
Canada,2020-06-15,98735,2600.0,60241.0,8146,0.0825,,,325,39
Canada,2020-06-16,99091,2609.0,61000.0,8174,0.0825,,,356,28
Canada,2020-06-17,99467,2619.0,61443.0,8213,0.0826,,,376,39
Canada,2020-06-18,99853,2629.0,62017.0,8254,0.0827,,,386,41
Canada,2020-06-19,100220,2639.0,62496.0,8300,0.0828,,,367,46
Canada,2020-06-20,100622,2649.0,62984.0,8346,0.0829,,,402,46
Canada,2020-06-21,100961,2658.0,63450.0,8410,0.0833,,,339,64
Canada,2020-06-22,101286,2667.0,63860.0,8430,0.0832,,,325,20
Canada,2020-06-23,101573,2674.0,64284.0,8434,0.083,,,287,4
Canada,2020-06-24,101963,2685.0,64704.0,8454,0.0829,,,390,20
Canada,2020-06-25,102242,2692.0,65001.0,8484,0.083,,,279,30
Canada,2020-06-26,102622,2702.0,65425.0,8504,0.0829,,,380,20
Canada,2020-06-27,102794,2707.0,65726.0,8508,0.0828,,,172,4
Canada,2020-06-28,103032,2713.0,65973.0,8516,0.0827,,,238,8
Canada,2020-06-29,103250,2719.0,66191.0,8522,0.0825,,,218,6
Canada,2020-06-30,103918,2736.0,67178.0,8566,0.0824,,,668,44
Canada,2020-07-01,104151,2742.0,67528.0,8591,0.0825,,,233,25
Canada,2020-07-02,104271,2745.0,67744.0,8615,0.0826,,,120,24
Canada,2020-07-03,104771,2759.0,68347.0,8642,0.0825,,,500,27
Canada,2020-07-04,105090,2767.0,68695.0,8663,0.0824,,,319,21
Canada,2020-07-05,105316,2773.0,68989.0,8674,0.0824,,,226,11
Canada,2020-07-06,105536,2779.0,69239.0,8684,0.0823,,,220,10
Canada,2020-07-07,105935,2789.0,69549.0,8693,0.0821,,,399,9
Canada,2020-07-09,106433,2802.0,70247.0,8737,0.0821,,,498,44
Canada,2020-07-10,106840,2813.0,70574.0,8749,0.0819,,,407,12
Canada,2020-07-11,107126,2821.0,70901.0,8759,0.0818,,,286,10
Canada,2020-07-12,107347,2826.0,71266.0,8765,0.0817,,,221,6
Canada,2020-07-14,108155,2848.0,71841.0,8790,0.0813,,,808,25
Canada,2020-07-15,108486,2856.0,72170.0,8798,0.0811,,,331,8
Canada,2020-07-16,108724,2863.0,72383.0,8810,0.081,,,238,12
Canada,2020-07-18,109667,2888.0,96689.0,8839,0.0806,,,943,29
Canada,2020-07-19,109999,2896.0,96914.0,8848,0.0804,,,332,9
Canada,2020-07-19,109999,2896.0,96914.0,8848,0.0804,,,0,0
Canada,2020-07-21,111022,2923.0,97417.0,8858,0.0798,,,1023,10
Canada,2020-07-22,111697,2941.0,97757.0,8862,0.0793,,,675,4
Canada,2020-07-23,112206,2954.0,98127.0,8870,0.0791,,,509,8
Canada,2020-07-24,112528,2963.0,98439.0,8871,0.0788,,,322,1
Canada,2020-07-25,113206,2981.0,98873.0,8881,0.0784,,,678,10
Canada,2020-07-26,113556,2990.0,99125.0,8885,0.0782,,,350,4
Canada,2020-07-27,113911,2999.0,99355.0,8890,0.078,,,355,5
Canada,2020-07-28,114597,3017.0,99860.0,8901,0.0777,,,686,11
Canada,2020-07-29,114994,3028.0,100134.0,8912,0.0775,,,397,11
Canada,2020-07-30,116298,3062.0,100335.0,8914,0.0766,,,1304,2
Canada,2020-07-31,116470,3067.0,100465.0,8917,0.0766,,,172,3
Canada,2020-08-01,116312,3063.0,101227.0,8935,0.0768,,,0,18
Canada,2020-08-02,116599,3070.0,101436.0,8941,0.0767,,,287,6
Canada,2020-08-03,116884,3078.0,101574.0,8945,0.0765,,,285,4
Canada,2020-08-04,117021,3081.0,101597.0,8947,0.0765,,,137,2
Canada,2020-08-05,117333,3089.0,101844.0,8953,0.0763,,,312,6
Canada,2020-08-06,118140,3111.0,103266.0,8962,0.0759,,,807,9
Canada,2020-08-07,118458,3119.0,102984.0,8964,0.0757,,,318,2
Canada,2020-08-08,118797,3128.0,103282.0,8967,0.0755,,,339,3
Canada,2020-08-09,119221,3139.0,103566.0,8976,0.0753,,,424,9
