Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Somalia,2020-03-31,3.0,0.29,0.0,0.0,0.0,0.0,0.0
Somalia,2020-04-01,3.0,0.29,0.0,0.0,0.0,0.0,0.0
Somalia,2020-04-02,3.0,0.29,0.0,0.0,0.0,0.0,0.0
Somalia,2020-04-03,3.0,0.29,0.0,0.0,0.0,0.0,0.0
Somalia,2020-04-07,7.0,0.44,1.0,0.0,0.0,4.0,0.0
Somalia,2020-04-10,12.0,0.76,1.0,1.0,0.08333333333333333,5.0,1.0
Somalia,2020-04-11,21.0,1.32,1.0,1.0,0.047619047619047616,9.0,0.0
Somalia,2020-04-12,21.0,1.32,1.0,1.0,0.047619047619047616,0.0,0.0
Somalia,2020-04-14,60.0,3.78,2.0,2.0,0.03333333333333333,39.0,1.0
Somalia,2020-04-17,80.0,5.03,2.0,5.0,0.0625,20.0,3.0
Somalia,2020-04-18,116.0,7.3,2.0,5.0,0.04310344827586207,36.0,0.0
Somalia,2020-04-20,135.0,8.49,2.0,7.0,0.05185185185185185,19.0,2.0
Somalia,2020-04-22,286.0,18.0,10.0,16.0,0.05594405594405594,151.0,9.0
Somalia,2020-04-23,286.0,18.0,10.0,16.0,0.05594405594405594,0.0,0.0
Somalia,2020-04-24,328.0,20.64,8.0,16.0,0.04878048780487805,42.0,0.0
Somalia,2020-04-25,328.0,20.64,8.0,16.0,0.04878048780487805,0.0,0.0
Somalia,2020-04-26,390.0,24.54,8.0,18.0,0.04615384615384616,62.0,2.0
Somalia,2020-04-27,436.0,27.43,10.0,23.0,0.05275229357798165,46.0,5.0
Somalia,2020-04-28,480.0,30.2,10.0,23.0,0.04791666666666667,44.0,0.0
Somalia,2020-04-29,528.0,33.22,19.0,28.0,0.05303030303030303,48.0,5.0
Somalia,2020-04-30,528.0,33.22,19.0,28.0,0.05303030303030303,0.0,0.0
Somalia,2020-05-01,601.0,38.0,31.0,28.0,0.04658901830282862,73.0,0.0
Somalia,2020-05-02,601.0,38.0,31.0,28.0,0.04658901830282862,0.0,0.0
Somalia,2020-05-03,671.0,42.0,34.0,31.0,0.046199701937406856,70.0,3.0
Somalia,2020-05-04,671.0,42.0,34.0,31.0,0.046199701937406856,0.0,0.0
Somalia,2020-05-05,756.0,48.0,61.0,35.0,0.04629629629629629,85.0,4.0
