Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewConfirmed,NewDeaths
Worldwide,2020-03-31,786228,111.58,166041.0,37820,0.048103095,,0,0
Worldwide,2020-04-01,859032,121.91,178101.0,42322,0.04926708201789922,,72804,4502
Worldwide,2020-04-02,935817,132.81,193700.0,47208,0.05044576022876268,,76785,4886
Worldwide,2020-04-03,1015403,144.1,210579.0,53030,0.052225569552187656,,79586,5822
Worldwide,2020-04-07,1331032,171.18,275851.0,73917,0.05553360099531792,,315629,20887
Worldwide,2020-04-10,1600427,205.82,354464.0,95699,0.059795916964660065,,269395,21782
Worldwide,2020-04-11,1696139,218.13,376200.0,102669,0.060531006008351915,,95712,6970
Worldwide,2020-04-12,1767855,227.35,401873.0,108281,0.06124993282820141,,71716,5612
Worldwide,2020-04-14,1920918,247.04,453289.0,119686,0.06230666795771605,,153063,11405
Worldwide,2020-04-17,2152647,276.84,542107.0,143802,0.06680240652554738,,231729,24116
Worldwide,2020-04-18,2240191,288.1,568343.0,153822,0.06866468082409044,,87544,10020
Worldwide,2020-04-20,2403963,309.16,624698.0,165229,0.06873192307868299,,163772,11407
Worldwide,2020-04-22,2553853,328.43,679748.0,176323,0.06904195347187171,,149890,11094
Worldwide,2020-04-23,2628527,338.04,784986.0,183424,0.06978204903354616,,74674,7101
Worldwide,2020-04-24,2709483,348.45,742855.0,190872,0.0704459116370171,,80956,7448
Worldwide,2020-04-25,2790986,358.93,781382.0,195920,0.07019741410383283,,81503,5048
Worldwide,2020-04-26,2892508,371.99,815658.0,202455,0.06999289198162978,,101522,6535
Worldwide,2020-04-27,2971669,382.17,865733.0,206544,0.0695043761603328,,79161,4089
Worldwide,2020-04-28,3002303,386.11,878813.0,208131,0.06932378244301125,,30634,1587
Worldwide,2020-04-29,3116680,400.82,928712.0,217168,0.06967927409936214,,114377,9037
Worldwide,2020-04-30,3116992,400.86,928930.0,217183,0.06967711177956183,,312,15
Worldwide,2020-05-01,3249022,418.0,1006112.0,230804,0.07103799235585355,,132030,13621
Worldwide,2020-05-02,3303296,425.0,1039588.0,235290,0.07122885748052854,,54274,4486
Worldwide,2020-05-03,3421834,440.0,1092715.0,243524,0.07116768376256709,,118538,8234
Worldwide,2020-05-04,3441767,443.0,1097858.0,243922,0.07087115426465533,,19933,398
Worldwide,2020-05-05,3584174,461.0,1167991.0,251580,0.07019190474569592,,142407,7658
Worldwide,2020-05-06,3659271,471.0,1197340.0,256736,0.0701604226634212,,75097,5156
Worldwide,2020-05-07,3748959,482.0,1238453.0,263146,0.07019175189699328,,89688,6410
Worldwide,2020-05-08,3784085,487.0,1255685.0,264679,0.06994531042510937,,35126,1533
Worldwide,2020-05-09,3932896,506.0,1313004.0,274422,0.06977606323686159,,148811,9743
Worldwide,2020-05-10,4024737,518.0,1375854.0,279313,0.06939906880871967,,91841,4891
