Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Côte d'Ivoire,2020-03-31,168.0,7.08,6.0,1.0,0.005952381,0.0,0.0
Côte d'Ivoire,2020-04-01,179.0,7.54,7.0,1.0,0.00558659217877095,11.0,0.0
Côte d'Ivoire,2020-04-02,190.0,8.0,9.0,1.0,0.005263157894736842,11.0,0.0
Côte d'Ivoire,2020-04-03,194.0,8.17,9.0,1.0,0.005154639175257732,4.0,0.0
Côte d'Ivoire,2020-04-07,261.0,10.11,37.0,3.0,0.011494252873563218,67.0,2.0
Côte d'Ivoire,2020-04-10,444.0,17.19,52.0,3.0,0.006756756756756757,183.0,0.0
Côte d'Ivoire,2020-04-11,480.0,18.59,54.0,3.0,0.00625,36.0,0.0
Côte d'Ivoire,2020-04-12,480.0,18.59,54.0,3.0,0.00625,0.0,0.0
Côte d'Ivoire,2020-04-14,626.0,24.24,89.0,6.0,0.009584664536741214,146.0,3.0
Côte d'Ivoire,2020-04-17,654.0,25.33,146.0,6.0,0.009174311926605505,28.0,0.0
Côte d'Ivoire,2020-04-18,688.0,26.64,193.0,6.0,0.008720930232558141,34.0,0.0
Côte d'Ivoire,2020-04-20,847.0,32.8,260.0,9.0,0.010625737898465172,159.0,3.0
Côte d'Ivoire,2020-04-22,916.0,35.47,303.0,13.0,0.014192139737991268,69.0,4.0
Côte d'Ivoire,2020-04-23,952.0,36.87,310.0,14.0,0.014705882352941175,36.0,1.0
Côte d'Ivoire,2020-04-24,1004.0,38.88,359.0,14.0,0.013944223107569721,52.0,0.0
Côte d'Ivoire,2020-04-25,1077.0,41.71,419.0,14.0,0.012999071494893221,73.0,0.0
Côte d'Ivoire,2020-04-26,1111.0,43.02,449.0,14.0,0.0126012601260126,34.0,0.0
Côte d'Ivoire,2020-04-27,1150.0,44.53,468.0,14.0,0.012173913043478259,39.0,0.0
Côte d'Ivoire,2020-04-28,1164.0,45.08,499.0,14.0,0.012027491408934709,14.0,0.0
Côte d'Ivoire,2020-04-29,1183.0,45.81,525.0,14.0,0.01183431952662722,19.0,0.0
Côte d'Ivoire,2020-04-30,1183.0,45.81,525.0,14.0,0.01183431952662722,0.0,0.0
Côte d'Ivoire,2020-05-01,1275.0,49.0,574.0,14.0,0.010980392156862744,92.0,0.0
Côte d'Ivoire,2020-05-02,1333.0,52.0,597.0,15.0,0.011252813203300823,58.0,1.0
Côte d'Ivoire,2020-05-03,1362.0,53.0,622.0,15.0,0.011013215859030838,29.0,0.0
Côte d'Ivoire,2020-05-04,1362.0,53.0,622.0,15.0,0.011013215859030838,0.0,0.0
Côte d'Ivoire,2020-05-05,1432.0,55.0,653.0,17.0,0.01187150837988827,70.0,2.0
Côte d'Ivoire,2020-05-06,1432.0,55.0,653.0,17.0,0.01187150837988827,0.0,0.0
Côte d'Ivoire,2020-05-07,1516.0,59.0,721.0,18.0,0.011873350923482849,84.0,1.0
Côte d'Ivoire,2020-05-08,1571.0,61.0,742.0,20.0,0.012730744748567792,55.0,2.0
