Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
New Caledonia,2020-03-31,15.0,53.72,0.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-01,16.0,57.31,0.0,0.0,0.0,1.0,0.0
New Caledonia,2020-04-02,16.0,57.31,0.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-03,18.0,64.47,1.0,0.0,0.0,2.0,0.0
New Caledonia,2020-04-07,18.0,63.78,1.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-10,18.0,63.78,1.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-11,18.0,63.78,1.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-12,18.0,63.78,1.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-14,18.0,63.78,10.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-17,18.0,63.78,10.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-18,18.0,63.78,14.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-20,18.0,63.78,14.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-22,18.0,63.78,14.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-23,18.0,63.78,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-24,18.0,63.78,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-25,18.0,63.78,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-26,18.0,63.78,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-27,18.0,63.78,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-28,18.0,63.78,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-29,18.0,63.78,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-04-30,18.0,63.78,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-01,18.0,64.0,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-02,18.0,64.0,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-03,18.0,64.0,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-04,18.0,64.0,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-05,18.0,64.0,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-06,18.0,64.0,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-07,18.0,64.0,17.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-08,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-09,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-10,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-11,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-12,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-13,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-15,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-16,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-17,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-18,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-19,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-20,18.0,64.0,18.0,0.0,0.0,0.0,0.0
,2020-05-21,,,,,,,
New Caledonia,2020-05-22,18.0,64.0,18.0,0.0,0.0,,
New Caledonia,2020-05-23,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-24,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-25,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-26,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-27,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-28,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-29,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-30,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-05-31,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-01,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-02,18.0,64.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-03,20.0,71.0,18.0,0.0,0.0,2.0,0.0
New Caledonia,2020-06-04,20.0,71.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-05,20.0,71.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-06,20.0,71.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-07,20.0,71.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-08,20.0,71.0,18.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-09,20.0,71.0,20.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-10,20.0,71.0,20.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-12,21.0,74.0,20.0,0.0,0.0,1.0,0.0
New Caledonia,2020-06-13,21.0,74.0,20.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-14,21.0,74.0,20.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-15,21.0,74.0,20.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-16,21.0,74.0,20.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-17,21.0,74.0,20.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-18,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-19,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-20,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-21,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-22,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-23,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-24,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-25,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-26,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-27,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-28,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-29,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-06-30,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-07-01,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-07-02,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-07-03,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-07-04,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-07-05,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-07-06,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-07-07,21.0,74.0,21.0,0.0,0.0,0.0,0.0
New Caledonia,2020-07-07,21.0,74.0,21.0,0.0,0.0,0.0,0.0
