Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Morocco,2020-03-31,556.0,16.55,15.0,33.0,0.059352518,0.0,0.0
Morocco,2020-04-01,617.0,18.36,24.0,36.0,0.05834683954619125,61.0,3.0
Morocco,2020-04-02,654.0,19.47,29.0,39.0,0.059633027522935776,37.0,3.0
Morocco,2020-04-03,708.0,21.07,31.0,44.0,0.062146892655367235,54.0,5.0
Morocco,2020-04-07,1113.0,31.04,76.0,71.0,0.0637915543575921,405.0,27.0
Morocco,2020-04-10,1374.0,38.32,109.0,97.0,0.07059679767103348,261.0,26.0
Morocco,2020-04-11,1448.0,40.38,122.0,107.0,0.0738950276243094,74.0,10.0
Morocco,2020-04-12,1545.0,43.09,146.0,111.0,0.07184466019417475,97.0,4.0
Morocco,2020-04-14,1763.0,49.17,203.0,126.0,0.07146908678389109,218.0,15.0
Morocco,2020-04-17,2283.0,63.67,249.0,130.0,0.056942619360490575,520.0,4.0
Morocco,2020-04-18,2564.0,71.51,281.0,135.0,0.052652106084243366,281.0,5.0
Morocco,2020-04-20,2855.0,79.62,327.0,141.0,0.04938704028021016,291.0,6.0
Morocco,2020-04-22,3209.0,89.5,393.0,163.0,0.050794640074789656,354.0,22.0
Morocco,2020-04-23,3446.0,96.1,417.0,149.0,0.04323853743470691,237.0,0.0
Morocco,2020-04-24,3568.0,99.51,456.0,155.0,0.04344170403587444,122.0,6.0
Morocco,2020-04-25,3758.0,104.81,486.0,158.0,0.04204364023416711,190.0,3.0
Morocco,2020-04-26,3897.0,108.68,537.0,159.0,0.04080061585835258,139.0,1.0
Morocco,2020-04-27,4065.0,113.37,593.0,161.0,0.03960639606396064,168.0,2.0
Morocco,2020-04-28,4120.0,114.9,695.0,162.0,0.03932038834951456,55.0,1.0
Morocco,2020-04-29,4252.0,118.58,778.0,165.0,0.038805268109125116,132.0,3.0
Morocco,2020-04-30,4252.0,118.58,778.0,165.0,0.038805268109125116,0.0,0.0
Morocco,2020-05-01,4423.0,123.0,984.0,170.0,0.03843545105132263,171.0,5.0
Morocco,2020-05-02,4569.0,127.0,1055.0,171.0,0.03742613263296126,146.0,1.0
Morocco,2020-05-03,4729.0,132.0,1256.0,173.0,0.03658278705857476,160.0,2.0
Morocco,2020-05-04,4729.0,132.0,1256.0,173.0,0.03658278705857476,0.0,0.0
Morocco,2020-05-05,5053.0,141.0,1653.0,179.0,0.03542450029685335,324.0,6.0
Morocco,2020-05-06,5219.0,146.0,1838.0,181.0,0.03468097336654531,166.0,2.0
Morocco,2020-05-07,5408.0,151.0,2017.0,183.0,0.033838757396449703,189.0,2.0
Morocco,2020-05-08,5548.0,155.0,2179.0,183.0,0.03298485940879596,140.0,0.0
Morocco,2020-05-09,5711.0,159.0,2324.0,186.0,0.03256872701803537,163.0,3.0
Morocco,2020-05-10,5910.0,165.0,2461.0,186.0,0.03147208121827411,199.0,0.0
Morocco,2020-05-11,6063.0,169.0,2554.0,188.0,0.031007751937984492,153.0,2.0
Morocco,2020-05-12,6281.0,175.0,2811.0,188.0,0.02993153956376373,218.0,0.0
Morocco,2020-05-13,6418.0,179.0,2991.0,188.0,0.029292614521657837,137.0,0.0
Morocco,2020-05-15,6607.0,184.0,3310.0,190.0,0.02875737853791433,189.0,2.0
Morocco,2020-05-16,6652.0,186.0,3400.0,190.0,0.028562838244137106,45.0,0.0
Morocco,2020-05-17,6741.0,188.0,3487.0,192.0,0.028482421005785487,89.0,2.0
Morocco,2020-05-18,6870.0,192.0,3660.0,192.0,0.02794759825327511,129.0,0.0
Morocco,2020-05-19,6952.0,194.0,3758.0,192.0,0.027617951668584582,82.0,0.0
Morocco,2020-05-20,7023.0,196.0,3901.0,193.0,0.027481133418766908,71.0,1.0
,2020-05-21,,,,,,,
Morocco,2020-05-22,7211.0,201.0,4280.0,196.0,0.027180696158646517,,
Morocco,2020-05-23,7332.0,204.0,4377.0,197.0,0.026868521549372613,121.0,1.0
Morocco,2020-05-24,7406.0,207.0,4638.0,198.0,0.02673507966513637,74.0,1.0
Morocco,2020-05-25,7433.0,207.0,4703.0,199.0,0.026772501009013856,27.0,1.0
Morocco,2020-05-26,7532.0,210.0,4774.0,200.0,0.026553372278279343,99.0,1.0
Morocco,2020-05-27,7577.0,211.0,4881.0,202.0,0.02665962782103735,45.0,2.0
Morocco,2020-05-28,7601.0,212.0,4978.0,202.0,0.026575450598605447,24.0,0.0
Morocco,2020-05-29,7643.0,213.0,5195.0,202.0,0.02642941253434515,42.0,0.0
Morocco,2020-05-30,7714.0,215.0,5271.0,202.0,0.026186155042779363,71.0,0.0
Morocco,2020-05-31,7740.0,216.0,5377.0,203.0,0.02622739018087855,26.0,1.0
