Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,NewConfirmed,NewDeaths
Togo,2020-03-31,34.0,4.17,10.0,1.0,0.029411765,0.0,0.0
Togo,2020-04-01,34.0,4.17,10.0,1.0,0.029411764705882356,0.0,0.0
Togo,2020-04-02,36.0,4.41,10.0,2.0,0.05555555555555555,2.0,1.0
Togo,2020-04-03,39.0,4.78,17.0,2.0,0.05128205128205128,3.0,0.0
Togo,2020-04-07,58.0,7.69,23.0,3.0,0.05172413793103448,19.0,1.0
Togo,2020-04-10,73.0,9.68,24.0,3.0,0.0410958904109589,15.0,0.0
Togo,2020-04-11,76.0,10.08,25.0,3.0,0.03947368421052632,3.0,0.0
Togo,2020-04-12,76.0,10.08,25.0,3.0,0.03947368421052632,0.0,0.0
Togo,2020-04-14,77.0,10.21,29.0,3.0,0.03896103896103896,1.0,0.0
Togo,2020-04-17,81.0,10.75,35.0,3.0,0.037037037037037035,4.0,0.0
Togo,2020-04-18,83.0,11.01,48.0,5.0,0.060240963855421686,2.0,2.0
Togo,2020-04-20,84.0,11.14,49.0,5.0,0.05952380952380953,1.0,0.0
Togo,2020-04-22,86.0,11.41,56.0,6.0,0.06976744186046513,2.0,1.0
Togo,2020-04-23,88.0,11.67,56.0,6.0,0.06818181818181818,2.0,0.0
Togo,2020-04-24,88.0,11.67,59.0,6.0,0.06818181818181818,0.0,0.0
Togo,2020-04-25,90.0,11.94,59.0,6.0,0.06666666666666668,2.0,0.0
Togo,2020-04-26,96.0,12.74,62.0,6.0,0.0625,6.0,0.0
Togo,2020-04-27,98.0,13.0,62.0,6.0,0.061224489795918366,2.0,0.0
Togo,2020-04-28,99.0,13.13,62.0,6.0,0.060606060606060615,1.0,0.0
Togo,2020-04-29,99.0,13.13,63.0,6.0,0.060606060606060615,0.0,0.0
Togo,2020-04-30,99.0,13.13,63.0,6.0,0.060606060606060615,0.0,0.0
Togo,2020-05-01,116.0,15.0,65.0,9.0,0.07758620689655173,17.0,3.0
Togo,2020-05-02,123.0,16.0,66.0,9.0,0.07317073170731707,7.0,0.0
Togo,2020-05-03,123.0,16.0,66.0,9.0,0.07317073170731707,0.0,0.0
Togo,2020-05-04,123.0,16.0,66.0,9.0,0.07317073170731707,0.0,0.0
Togo,2020-05-05,126.0,17.0,74.0,9.0,0.07142857142857142,3.0,0.0
Togo,2020-05-06,128.0,17.0,74.0,9.0,0.0703125,2.0,0.0
Togo,2020-05-07,128.0,17.0,77.0,9.0,0.0703125,0.0,0.0
Togo,2020-05-08,135.0,18.0,85.0,9.0,0.06666666666666668,7.0,0.0
Togo,2020-05-09,145.0,19.0,85.0,10.0,0.06896551724137931,10.0,1.0
Togo,2020-05-10,153.0,20.0,87.0,10.0,0.06535947712418301,8.0,0.0
Togo,2020-05-11,174.0,23.0,89.0,11.0,0.06321839080459771,21.0,1.0
Togo,2020-05-12,174.0,23.0,89.0,11.0,0.06321839080459771,0.0,0.0
Togo,2020-05-13,199.0,26.0,92.0,11.0,0.055276381909547735,25.0,0.0
Togo,2020-05-15,238.0,32.0,96.0,11.0,0.04621848739495799,39.0,0.0
Togo,2020-05-16,263.0,35.0,96.0,11.0,0.04182509505703422,25.0,0.0
Togo,2020-05-17,263.0,35.0,96.0,11.0,0.04182509505703422,0.0,0.0
Togo,2020-05-18,301.0,40.0,104.0,11.0,0.03654485049833888,38.0,0.0
Togo,2020-05-19,330.0,44.0,106.0,12.0,0.03636363636363636,29.0,1.0
Togo,2020-05-20,338.0,45.0,107.0,12.0,0.035502958579881665,8.0,0.0
,2020-05-21,,,,,,,
Togo,2020-05-22,354.0,47.0,118.0,12.0,0.03389830508474576,,
Togo,2020-05-23,363.0,48.0,121.0,12.0,0.033057851239669415,9.0,0.0
Togo,2020-05-24,373.0,49.0,133.0,12.0,0.032171581769437,10.0,0.0
Togo,2020-05-25,381.0,51.0,141.0,12.0,0.031496062992125984,8.0,0.0
Togo,2020-05-26,386.0,51.0,161.0,13.0,0.03367875647668394,5.0,1.0
Togo,2020-05-27,391.0,52.0,177.0,13.0,0.03324808184143223,5.0,0.0
Togo,2020-05-28,395.0,52.0,183.0,13.0,0.032911392405063286,4.0,0.0
Togo,2020-05-29,422.0,56.0,197.0,13.0,0.030805687203791468,27.0,0.0
Togo,2020-05-30,428.0,57.0,202.0,13.0,0.03037383177570093,6.0,0.0
Togo,2020-05-31,433.0,57.0,206.0,13.0,0.030023094688221712,5.0,0.0
Togo,2020-06-01,442.0,59.0,211.0,13.0,0.029411764705882356,9.0,0.0
Togo,2020-06-02,443.0,59.0,215.0,13.0,0.02934537246049661,1.0,0.0
Togo,2020-06-03,445.0,59.0,230.0,13.0,0.0292,2.0,0.0
Togo,2020-06-04,452.0,60.0,236.0,13.0,0.0288,7.0,0.0
Togo,2020-06-05,465.0,62.0,239.0,13.0,0.027999999999999997,13.0,0.0
Togo,2020-06-06,485.0,64.0,240.0,13.0,0.0268,20.0,0.0
Togo,2020-06-07,487.0,65.0,240.0,13.0,0.0267,2.0,0.0
Togo,2020-06-08,495.0,66.0,248.0,13.0,0.0263,8.0,0.0
Togo,2020-06-09,497.0,66.0,251.0,13.0,0.0262,2.0,0.0
Togo,2020-06-10,501.0,66.0,260.0,13.0,0.0259,4.0,0.0
Togo,2020-06-12,524.0,70.0,271.0,13.0,0.0248,23.0,0.0
Togo,2020-06-13,525.0,70.0,279.0,13.0,0.0248,1.0,0.0
Togo,2020-06-14,530.0,70.0,291.0,13.0,0.0245,5.0,0.0
Togo,2020-06-15,530.0,70.0,291.0,13.0,0.0245,0.0,0.0
Togo,2020-06-16,532.0,71.0,308.0,13.0,0.0244,2.0,0.0
Togo,2020-06-17,537.0,71.0,344.0,13.0,0.0242,5.0,0.0
Togo,2020-06-18,544.0,72.0,353.0,13.0,0.0239,7.0,0.0
Togo,2020-06-19,547.0,73.0,353.0,13.0,0.0238,3.0,0.0
Togo,2020-06-20,555.0,74.0,361.0,13.0,0.0234,8.0,0.0
Togo,2020-06-21,561.0,74.0,366.0,13.0,0.0232,6.0,0.0
Togo,2020-06-22,569.0,75.0,375.0,13.0,0.0228,8.0,0.0
Togo,2020-06-23,569.0,75.0,375.0,13.0,0.0228,0.0,0.0
Togo,2020-06-24,576.0,76.0,384.0,13.0,0.0226,7.0,0.0
Togo,2020-06-25,583.0,77.0,392.0,14.0,0.024,7.0,1.0
Togo,2020-06-26,588.0,78.0,394.0,14.0,0.0238,5.0,0.0
Togo,2020-06-27,591.0,78.0,395.0,14.0,0.0237,3.0,0.0
Togo,2020-06-28,591.0,78.0,395.0,14.0,0.0237,0.0,0.0
Togo,2020-06-29,642.0,85.0,401.0,14.0,0.0218,51.0,0.0
Togo,2020-06-30,643.0,85.0,401.0,14.0,0.0218,1.0,0.0
Togo,2020-07-01,643.0,85.0,401.0,14.0,0.0218,0.0,0.0
Togo,2020-07-02,643.0,85.0,401.0,14.0,0.0218,0.0,0.0
Togo,2020-07-03,661.0,88.0,414.0,14.0,0.0212,18.0,0.0
Togo,2020-07-04,671.0,89.0,424.0,14.0,0.0209,10.0,0.0
Togo,2020-07-05,671.0,89.0,424.0,14.0,0.0209,0.0,0.0
Togo,2020-07-06,680.0,90.0,447.0,15.0,0.0221,9.0,1.0
Togo,2020-07-07,680.0,90.0,450.0,15.0,0.0221,0.0,0.0
Togo,2020-07-09,695.0,92.0,475.0,15.0,0.0216,15.0,0.0
Togo,2020-07-10,695.0,92.0,475.0,15.0,0.0216,0.0,0.0
Togo,2020-07-11,710.0,94.0,494.0,15.0,0.0211,15.0,0.0
Togo,2020-07-12,710.0,94.0,494.0,15.0,0.0211,0.0,0.0
Togo,2020-07-13,710.0,94.0,494.0,15.0,0.0211,0.0,0.0
Togo,2020-07-14,720.0,96.0,0.0,15.0,0.0208,10.0,0.0
Togo,2020-07-15,721.0,96.0,0.0,15.0,0.0208,1.0,0.0
Togo,2020-07-16,721.0,96.0,0.0,15.0,0.0208,0.0,0.0
Togo,2020-07-18,749.0,99.0,543.0,15.0,0.02,28.0,0.0
Togo,2020-07-19,749.0,99.0,543.0,15.0,0.02,0.0,0.0
Togo,2020-07-19,774.0,103.0,548.0,15.0,0.0194,25.0,0.0
Togo,2020-07-21,774.0,103.0,548.0,15.0,0.0194,0.0,0.0
Togo,2020-07-22,774.0,103.0,548.0,15.0,0.0194,0.0,0.0
Togo,2020-07-23,790.0,105.0,0.0,15.0,0.019,16.0,0.0
Togo,2020-07-24,806.0,107.0,578.0,16.0,0.0199,16.0,1.0
Togo,2020-07-25,839.0,111.0,585.0,17.0,0.0203,33.0,1.0
Togo,2020-07-26,839.0,111.0,585.0,17.0,0.0203,0.0,0.0
Togo,2020-07-27,868.0,115.0,599.0,18.0,0.0207,29.0,1.0
Togo,2020-07-28,874.0,116.0,607.0,18.0,0.0206,6.0,0.0
Togo,2020-07-29,896.0,119.0,612.0,18.0,0.0201,22.0,0.0
Togo,2020-07-30,896.0,119.0,612.0,18.0,0.0201,0.0,0.0
Togo,2020-07-31,896.0,119.0,612.0,18.0,0.0201,0.0,0.0
Togo,2020-08-01,927.0,123.0,6634.0,18.0,0.0194,31.0,0.0
Togo,2020-08-02,927.0,123.0,6634.0,18.0,0.0194,0.0,0.0
Togo,2020-08-03,927.0,123.0,6634.0,18.0,0.0194,0.0,0.0
Togo,2020-08-04,976.0,129.0,663.0,19.0,0.0195,49.0,1.0
Togo,2020-08-05,976.0,129.0,663.0,19.0,0.0195,0.0,0.0
Togo,2020-08-06,988.0,131.0,663.0,19.0,0.0192,12.0,0.0
Togo,2020-08-07,1001.0,133.0,690.0,21.0,0.021,13.0,2.0
Togo,2020-08-08,1028.0,136.0,710.0,22.0,0.0214,27.0,1.0
Togo,2020-08-09,1028.0,136.0,710.0,22.0,0.0214,0.0,0.0
Togo,2020-08-10,1060.0,141.0,729.0,23.0,0.0217,32.0,1.0
Togo,2020-08-11,1067.0,142.0,729.0,25.0,0.0234,7.0,2.0
Togo,2020-08-12,1070.0,142.0,752.0,26.0,0.0243,3.0,1.0
Togo,2020-08-13,1092.0,145.0,782.0,26.0,0.0238,22.0,0.0
Togo,2020-08-14,1092.0,145.0,782.0,26.0,0.0238,0.0,0.0
Togo,2020-08-15,1124.0,149.0,806.0,26.0,0.0231,32.0,0.0
Togo,2020-08-16,1124.0,149.0,806.0,26.0,0.0231,0.0,0.0
Togo,2020-08-17,1147.0,152.0,843.0,27.0,0.0235,23.0,1.0
Togo,2020-08-18,1147.0,152.0,843.0,27.0,0.0235,0.0,0.0
Togo,2020-08-19,1173.0,156.0,868.0,27.0,0.023,26.0,0.0
Togo,2020-08-20,1173.0,156.0,868.0,27.0,0.023,0.0,0.0
