Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
San Marino,2020-03-31,230.0,6897.79,13.0,25.0,0.10869565199999999,,,0.0,0.0
San Marino,2020-04-01,236.0,7077.74,13.0,26.0,0.11016949152542373,,,6.0,1.0
San Marino,2020-04-02,236.0,7077.74,13.0,26.0,0.11016949152542373,,,0.0,0.0
San Marino,2020-04-03,245.0,7347.65,21.0,30.0,0.12244897959183673,,,9.0,4.0
San Marino,2020-04-07,277.0,8250.43,40.0,32.0,0.11552346570397112,,,32.0,2.0
San Marino,2020-04-10,333.0,9918.39,49.0,34.0,0.1021021021021021,,,56.0,2.0
San Marino,2020-04-11,344.0,10246.02,50.0,34.0,0.09883720930232558,,,11.0,0.0
San Marino,2020-04-12,344.0,10246.02,50.0,34.0,0.09883720930232558,,,0.0,0.0
San Marino,2020-04-14,371.0,11050.22,53.0,36.0,0.09703504043126683,,,27.0,2.0
San Marino,2020-04-17,426.0,12688.39,55.0,38.0,0.0892018779342723,,,55.0,2.0
San Marino,2020-04-18,426.0,12688.39,55.0,38.0,0.0892018779342723,,,0.0,0.0
San Marino,2020-04-20,461.0,13730.86,60.0,39.0,0.08459869848156182,,,35.0,1.0
San Marino,2020-04-22,476.0,14177.64,62.0,40.0,0.08403361344537816,,,15.0,1.0
San Marino,2020-04-23,488.0,14535.06,62.0,40.0,0.08196721311475409,,,12.0,0.0
San Marino,2020-04-24,501.0,14922.26,63.0,40.0,0.07984031936127745,,,13.0,0.0
San Marino,2020-04-25,513.0,15279.68,64.0,40.0,0.07797270955165693,,,12.0,0.0
San Marino,2020-04-26,513.0,15279.68,64.0,40.0,0.07797270955165693,,,0.0,0.0
San Marino,2020-04-27,538.0,16024.3,64.0,41.0,0.0762081784386617,,,25.0,1.0
San Marino,2020-04-28,538.0,16024.3,64.0,41.0,0.0762081784386617,,,0.0,0.0
San Marino,2020-04-29,553.0,16471.08,64.0,41.0,0.07414104882459313,,,15.0,0.0
San Marino,2020-04-30,553.0,16471.08,64.0,41.0,0.07414104882459313,,,0.0,0.0
San Marino,2020-05-01,569.0,16948.0,78.0,41.0,0.07205623901581723,,,16.0,0.0
San Marino,2020-05-02,580.0,17275.0,82.0,41.0,0.0706896551724138,,,11.0,0.0
San Marino,2020-05-03,580.0,17275.0,82.0,41.0,0.0706896551724138,,,0.0,0.0
San Marino,2020-05-04,580.0,17275.0,83.0,41.0,0.0706896551724138,,,0.0,0.0
San Marino,2020-05-05,582.0,17335.0,86.0,41.0,0.07044673539518902,,,2.0,0.0
San Marino,2020-05-06,589.0,17543.0,92.0,41.0,0.06960950764006793,,,7.0,0.0
San Marino,2020-05-07,608.0,18109.0,97.0,41.0,0.06743421052631579,,,19.0,0.0
San Marino,2020-05-08,622.0,18526.0,106.0,41.0,0.06591639871382636,,,14.0,0.0
San Marino,2020-05-09,623.0,18556.0,114.0,41.0,0.06581059390048154,,,1.0,0.0
San Marino,2020-05-10,637.0,18973.0,126.0,41.0,0.06436420722135007,,,14.0,0.0
San Marino,2020-05-11,637.0,18973.0,126.0,41.0,0.06436420722135007,,,0.0,0.0
San Marino,2020-05-12,637.0,18973.0,126.0,41.0,0.06436420722135007,,,0.0,0.0
San Marino,2020-05-13,638.0,19003.0,161.0,41.0,0.06426332288401254,,,1.0,0.0
San Marino,2020-05-15,648.0,19301.0,172.0,41.0,0.06327160493827161,,,10.0,0.0
San Marino,2020-05-16,652.0,19420.0,189.0,41.0,0.06288343558282207,,,4.0,0.0
San Marino,2020-05-17,653.0,19450.0,198.0,41.0,0.06278713629402756,,,1.0,0.0
San Marino,2020-05-18,654.0,19479.0,201.0,41.0,0.06269113149847094,,,1.0,0.0
San Marino,2020-05-19,654.0,19479.0,201.0,41.0,0.06269113149847094,,,0.0,0.0
San Marino,2020-05-20,655.0,19509.0,211.0,41.0,0.06259541984732825,,,1.0,0.0
,2020-05-21,,,,,,,,,
San Marino,2020-05-22,658.0,19598.0,235.0,41.0,0.06231003039513677,,,,
San Marino,2020-05-23,661.0,19688.0,254.0,41.0,0.06202723146747353,,,3.0,0.0
San Marino,2020-05-24,665.0,19807.0,266.0,42.0,0.06315789473684211,,,4.0,1.0
San Marino,2020-05-25,665.0,19807.0,266.0,42.0,0.06315789473684211,,,0.0,0.0
San Marino,2020-05-26,666.0,19837.0,270.0,42.0,0.06306306306306306,,,1.0,0.0
San Marino,2020-05-27,666.0,19837.0,275.0,42.0,0.06306306306306306,,,0.0,0.0
San Marino,2020-05-28,667.0,19867.0,294.0,42.0,0.06296851574212893,,,1.0,0.0
San Marino,2020-05-29,670.0,19956.0,322.0,42.0,0.0626865671641791,,,3.0,0.0
San Marino,2020-05-30,671.0,19986.0,344.0,42.0,0.06259314456035768,,,1.0,0.0
San Marino,2020-05-31,671.0,19986.0,344.0,42.0,0.06259314456035768,,,0.0,0.0
San Marino,2020-06-01,671.0,19986.0,344.0,42.0,0.06259314456035768,,,0.0,0.0
San Marino,2020-06-02,671.0,19986.0,359.0,42.0,0.06259314456035768,,,0.0,0.0
San Marino,2020-06-03,672.0,20015.0,384.0,42.0,0.0625,,,1.0,0.0
San Marino,2020-06-04,674.0,20075.0,391.0,42.0,0.0623,,,2.0,0.0
San Marino,2020-06-05,678.0,20194.0,408.0,42.0,0.0619,,,4.0,0.0
San Marino,2020-06-06,680.0,20254.0,428.0,42.0,0.0618,,,2.0,0.0
San Marino,2020-06-07,680.0,20254.0,428.0,42.0,0.0618,,,0.0,0.0
